,Open,High,Low,Close
0,1.1070458,1.1028478,1.1063274,1.1052223
1,1.1079935,1.103831,1.1072377,1.1061516
2,1.1081334,1.1039813,1.1074513,1.1063446
3,1.1074961,1.1034007,1.10687,1.1057441
4,1.1075101,1.1033427,1.1068155,1.1057199
5,1.1062679,1.1021695,1.1056118,1.1044676
6,1.1053482,1.1010612,1.1045191,1.103415
7,1.1075721,1.103361,1.1066802,1.1056187
8,1.1081359,1.1040263,1.1074765,1.1063641
9,1.1081498,1.1039639,1.1074501,1.1063551
10,1.1090295,1.1048717,1.1083431,1.1072521
11,1.1085128,1.1044345,1.1078483,1.1067337
12,1.108158,1.1040945,1.1074935,1.1063952
13,1.108421,1.1041701,1.1075308,1.1064732
14,1.1092439,1.1052251,1.1086185,1.1075089
15,1.1098394,1.1056774,1.1090333,1.1079894
16,1.1116067,1.1075406,1.1109259,1.1098645
17,1.1097065,1.1057363,1.1090174,1.1079044
18,1.106247,1.1022184,1.1055901,1.1044466
19,1.1017594,1.0975907,1.1010497,1.0998595
20,1.10005,1.0957012,1.0993797,1.0981979
21,1.0996436,1.0952358,1.098931,1.0977597
22,1.1006777,1.0962791,1.0999484,1.0987817
23,1.1004666,1.0962477,1.0998019,1.0986097
24,1.0973638,1.0930133,1.0967063,1.0954732
25,1.0957307,1.0912926,1.0950255,1.0937968
26,1.0955278,1.0910908,1.094886,1.0936556
27,1.0957575,1.0912683,1.0950884,1.0938679
28,1.0960927,1.0916169,1.0954343,1.0942076
29,1.0952382,1.0908374,1.0945877,1.0933394
30,1.0950074,1.0904671,1.0942653,1.0930516
31,1.0942565,1.0897672,1.0935177,1.0922651
32,1.094379,1.0898616,1.0936996,1.0924671
33,1.0948535,1.0903761,1.0942044,1.0929673
34,1.0942267,1.0897242,1.093582,1.09233
35,1.0943462,1.0897968,1.0936116,1.0923826
36,1.0935928,1.0891373,1.0929481,1.0916789
37,1.0926131,1.0880009,1.0918651,1.0906174
38,1.0940957,1.0895417,1.0933801,1.0921519
39,1.0948709,1.090357,1.0942211,1.0929824
40,1.0944098,1.0899385,1.0937686,1.0925144
41,1.0944302,1.0899224,1.0937573,1.092524
