,Open,High,Low,Close
0,1.10021,1.10184,1.09893,1.101
1,1.101,1.10369,1.09944,1.10204
2,1.10204,1.10268,1.10039,1.10186
3,1.10186,1.10245,1.09993,1.10009
4,1.10008,1.10262,1.09994,1.10142
5,1.10142,1.10172,1.09758,1.09819
6,1.09818,1.1006,1.09562,1.09977
7,1.09976,1.10458,1.09734,1.10232
8,1.10232,1.1031,1.1004,1.10127
9,1.10127,1.10255,1.10062,1.10247
10,1.10247,1.10338,1.1017,1.10334
11,1.10334,1.10379,1.1004,1.10132
12,1.10134,1.10443,1.10043,1.10096
13,1.10096,1.10421,1.0986,1.10397
14,1.10396,1.10493,1.10166,1.10166
15,1.10165,1.10598,1.10151,1.10505
16,1.10503,1.10674,1.10465,1.10602
17,1.10601,1.10645,1.10042,1.1015
18,1.10151,1.10302,1.09709,1.0973
19,1.09728,1.098,1.0911,1.09241
20,1.09242,1.09401,1.09165,1.09267
21,1.09123,1.09344,1.09109,1.09299
22,1.093,1.09426,1.09187,1.09426
23,1.09427,1.0962,1.09101,1.09142
24,1.09144,1.09144,1.08772,1.08839
25,1.08841,1.0898,1.08585,1.08739
26,1.08738,1.08914,1.08686,1.08718
27,1.0872,1.08879,1.08719,1.08826
28,1.08826,1.08887,1.08746,1.08843
29,1.08848,1.08927,1.08563,1.08605
30,1.08606,1.08842,1.08551,1.08793
31,1.08793,1.08793,1.08334,1.08568
32,1.08567,1.08753,1.08544,1.08662
33,1.08665,1.08803,1.08612,1.0867
34,1.08662,1.08686,1.0853,1.08596
35,1.08596,1.08751,1.08461,1.08695
36,1.08694,1.08702,1.08385,1.08426
37,1.08427,1.08532,1.08248,1.08517
38,1.08516,1.0872,1.0848,1.08673
39,1.08671,1.08733,1.08633,1.08716
40,1.08717,1.08741,1.08528,1.08577
41,1.08574,1.08766,1.08554,1.08657
42,1.08659,1.09096,1.08659,1.09066
43,1.09065,1.0972,1.08932,1.09446
44,1.09446,1.09682,1.09438,1.09554
45,1.09548,1.09581,1.09397,1.09434
46,1.09433,1.09548,1.09345,1.09526
47,1.09527,1.09732,1.09277,1.0962
48,1.09617,1.09894,1.09024,1.09802
49,1.09804,1.10427,1.09577,1.09972
50,1.09972,1.10117,1.09892,1.10102
51,1.09861,1.09966,1.09832,1.09858
52,1.09858,1.09932,1.09849,1.09916
53,1.09916,1.09935,1.09434,1.09538
54,1.09537,1.09717,1.09392,1.09586
55,1.09586,1.10242,1.09456,1.10205
56,1.10204,1.1025,1.10021,1.10128
57,1.10134,1.10228,1.10103,1.10172
58,1.10173,1.10279,1.10136,1.10169
59,1.1017,1.1044,1.10108,1.10132
60,1.10133,1.10359,1.10009,1.10319
61,1.10318,1.10572,1.10119,1.10176
62,1.10175,1.10178,1.09928,1.101
63,1.10101,1.10104,1.09745,1.09822
64,1.09823,1.09833,1.09665,1.09746
65,1.09745,1.09889,1.09608,1.09695
66,1.09696,1.09787,1.09472,1.09497
67,1.09497,1.10341,1.09453,1.10279
68,1.10277,1.10305,1.0996,1.09976
69,1.09976,1.10034,1.09695,1.09818
