,Open,High,Low,Close
0,1.090719,1.0918342,1.0896881,1.0916626
1,1.0917873,1.0929315,1.0907837,1.0927521
2,1.0920289,1.0931256,1.0909761,1.0929722
3,1.0913575,1.0924699,1.0903418,1.092347
4,1.0912408,1.0923915,1.0902334,1.0921733
5,1.089971,1.0910686,1.0889766,1.0910262
6,1.0886859,1.0897942,1.0876696,1.0896586
7,1.091189,1.0923667,1.0902284,1.0921863
8,1.0920639,1.0931743,1.0910355,1.0930371
9,1.0919954,1.0931046,1.0909384,1.0929042
10,1.0930319,1.0941355,1.0919639,1.0939373
11,1.0925307,1.0936333,1.0915059,1.0935344
12,1.0920475,1.0932324,1.0910935,1.0930465
13,1.0921735,1.0932992,1.0911398,1.0931141
14,1.0933949,1.0945274,1.0923948,1.0944053
15,1.0938245,1.095009,1.092824,1.0947405
16,1.0960109,1.0971498,1.094958,1.0969151
17,1.0939802,1.0950893,1.092995,1.0950834
18,1.089965,1.091107,1.0890359,1.0910853
19,1.0847828,1.0858752,1.0838562,1.0859488
20,1.0826609,1.0837673,1.0816802,1.0836416
21,1.082127,1.0832379,1.0811393,1.0830778
22,1.0833391,1.0844189,1.0823181,1.0842892
23,1.0832331,1.0843654,1.0823238,1.0843383
24,1.0796756,1.0807357,1.078714,1.0807581
25,1.0777031,1.0787865,1.0767598,1.0787591
26,1.0774626,1.0785695,1.0765238,1.0784757
27,1.0776825,1.0787731,1.0767093,1.0786506
28,1.0781081,1.0791725,1.0771137,1.0790843
29,1.0772007,1.0782802,1.0762689,1.0782834
30,1.0767621,1.0778568,1.0758005,1.0777419
31,1.0760405,1.0770695,1.0750736,1.0771313
32,1.0760903,1.0771841,1.0751361,1.0770779
33,1.0766786,1.0777682,1.0757235,1.077679
34,1.0759889,1.0770414,1.0750077,1.0769931
35,1.0760355,1.0771059,1.0750645,1.0770324
36,1.075319,1.076372,1.0743747,1.0764011
37,1.0740407,1.075086,1.0730606,1.0750419
38,1.0757318,1.07682,1.0747709,1.0767119
39,1.0766933,1.0777556,1.0757015,1.0776618
40,1.0762229,1.0772797,1.0752555,1.0772542
41,1.0761546,1.0772525,1.0752052,1.0771459
42,1.0784912,1.0796291,1.0775476,1.0794516
43,1.0828005,1.0840057,1.0819184,1.0838273
44,1.0853399,1.0864742,1.0843592,1.0862975
45,1.0849692,1.0860529,1.0839599,1.085955
46,1.0846657,1.0857528,1.0836432,1.0856117
47,1.0854396,1.0865377,1.0844398,1.0864314
48,1.0858929,1.0869616,1.084882,1.086934
49,1.089574,1.0908056,1.0886941,1.0906339
50,1.0904202,1.0915276,1.0893742,1.09134
51,1.0889711,1.090087,1.0879501,1.0899119
52,1.0890692,1.0901694,1.0880228,1.0899829
53,1.0872177,1.0883008,1.0862404,1.088311
54,1.085641,1.0867504,1.0846459,1.08662
55,1.0887871,1.0899755,1.0878223,1.0897291
56,1.091792,1.0928885,1.0907464,1.0927492
57,1.0918652,1.0929791,1.0908171,1.0927812
58,1.0921769,1.0933005,1.0911413,1.0931063
59,1.0923988,1.0935758,1.0914302,1.0933819
60,1.0923122,1.0934367,1.0912727,1.0932378
61,1.0932754,1.0944479,1.0923151,1.0942992
62,1.0912237,1.0922977,1.0901618,1.0921824
