,Open,High,Low,Close
0,1.266815,1.2695397,1.253993,1.2722926
1,1.2669235,1.2696476,1.2541512,1.2723818
2,1.2669469,1.2696697,1.2542112,1.2723722
3,1.2668669,1.2695985,1.2541089,1.2722962
4,1.266872,1.2695798,1.2540693,1.2723387
5,1.2667114,1.2694763,1.2538897,1.2721759
6,1.2666044,1.269356,1.253657,1.2721627
7,1.2668631,1.2696022,1.2540296,1.2723747
8,1.2669443,1.2696716,1.2542168,1.2723618
9,1.2669522,1.2696613,1.254199,1.2723906
10,1.2670585,1.2697634,1.2543675,1.2724619
11,1.2669855,1.2697245,1.2542934,1.2723838
12,1.2669415,1.269658,1.2541946,1.2723752
13,1.2669729,1.2697037,1.2541988,1.2724502
14,1.2670732,1.2698003,1.2544284,1.2724426
15,1.2671477,1.269842,1.2544564,1.2725735
16,1.2673662,1.2700517,1.2548323,1.2726877
17,1.2671154,1.2698845,1.2545214,1.272463
18,1.2666997,1.269475,1.2538785,1.2721657
19,1.2661567,1.2689807,1.2530596,1.2717716
20,1.2659755,1.2687352,1.2527177,1.2716765
21,1.2659286,1.2686821,1.2526248,1.2716609
22,1.2660527,1.2688123,1.2528244,1.2717452
23,1.2660097,1.268803,1.2528063,1.27168
24,1.2656431,1.2684587,1.2522571,1.2714046
25,1.2654482,1.2682582,1.2519281,1.2712901
26,1.2654308,1.2682153,1.2518911,1.2712778
27,1.2654635,1.268238,1.2519257,1.2713128
28,1.2655038,1.2682862,1.2520025,1.2713298
29,1.2653884,1.2682054,1.251857,1.2712276
30,1.2653689,1.2681557,1.2517679,1.2712623
31,1.2652677,1.2681123,1.251673,1.2711492
32,1.2652956,1.2680818,1.2516693,1.271193
33,1.2653521,1.2681396,1.2517688,1.2712214
34,1.2652777,1.2680779,1.2516687,1.2711575
35,1.2652887,1.2680894,1.2516592,1.2711933
36,1.2651919,1.2680213,1.2515635,1.2710803
37,1.265081,1.2678967,1.2513448,1.2710425
38,1.2652612,1.2680503,1.2516084,1.2711776
39,1.2653587,1.2681428,1.2517774,1.2712262
40,1.265296,1.2681038,1.2517064,1.271165
41,1.2653012,1.268087,1.2516794,1.2711959
42,1.2655587,1.2683287,1.2520206,1.2714344
43,1.2659968,1.2687653,1.2526829,1.2717681
44,1.2662582,1.2689956,1.2531362,1.2718911
45,1.2662091,1.2689669,1.2530975,1.2718252
46,1.2661893,1.2689393,1.2530379,1.2718375
47,1.2662641,1.2690321,1.2531471,1.2719066
48,1.2663084,1.2691185,1.2531989,1.271976
49,1.2666863,1.2694346,1.2537637,1.2722428
50,1.2667887,1.269508,1.2539473,1.2722762
51,1.2666322,1.2693532,1.2537267,1.2721407
52,1.2666475,1.269364,1.2537439,1.2721562
53,1.2664206,1.2692128,1.2534525,1.2719644
54,1.2662848,1.2690384,1.2531862,1.2719079
55,1.2666339,1.2693685,1.2536263,1.2722577
56,1.266919,1.2696457,1.2541761,1.2723446
57,1.2669351,1.269641,1.2541851,1.2723645
58,1.2669646,1.26967,1.2542344,1.2723813
59,1.2669796,1.2696903,1.2542549,1.2723988
60,1.2669849,1.2697009,1.2542368,1.2724321
61,1.267062,1.2697866,1.2543937,1.272453
62,1.2668604,1.2695976,1.2540882,1.2723044
63,1.2666837,1.2694453,1.2538428,1.272158
64,1.2665087,1.2692524,1.253552,1.2720454
65,1.2664702,1.269214,1.2534832,1.2720271
66,1.2663327,1.2690952,1.2532935,1.2719116
67,1.2666581,1.2693812,1.2536349,1.272301
68,1.2668822,1.2696296,1.2541479,1.2722974
69,1.2666222,1.2693774,1.2537328,1.2721275
70,1.2665453,1.2692813,1.2535979,1.2720789
71,1.266453,1.2692068,1.2534739,1.2720008
72,1.2658917,1.2688382,1.2526419,1.2716432
73,1.2674323,1.270132,1.2544777,1.2732279
74,1.2687781,1.2714158,1.2570193,1.273686
75,1.2687361,1.271361,1.2569215,1.2736838
76,1.2686507,1.2712954,1.2568241,1.2735934
77,1.2682444,1.2709793,1.2562699,1.2732626
78,1.2679394,1.270631,1.255703,1.2731212
79,1.2683246,1.2709733,1.2562447,1.2734396
80,1.2684032,1.271047,1.2564418,1.273414
81,1.2682568,1.2708963,1.2561996,1.2733221
82,1.2684087,1.2710403,1.2564204,1.2734444
83,1.2684442,1.2710732,1.2564878,1.2734551
84,1.268229,1.270929,1.2562072,1.2732767
85,1.2680012,1.2706864,1.2558343,1.2731266
86,1.267813,1.2705094,1.2555614,1.2729762
87,1.2677518,1.2704237,1.2554116,1.2729789
88,1.2678664,1.2705321,1.2556036,1.273043
89,1.2679083,1.270574,1.2556809,1.2730606
90,1.2677245,1.2704359,1.2554336,1.2729096
91,1.267749,1.2704136,1.2553806,1.2730026
92,1.2678539,1.2705349,1.255576,1.27305
93,1.2679158,1.2705818,1.2556965,1.273062
94,1.2678715,1.2705396,1.2556231,1.2730353
95,1.2678338,1.2705035,1.2555722,1.2730008
96,1.2677337,1.2704244,1.2554138,1.2729418
97,1.2675765,1.2702956,1.2552078,1.2728019
98,1.2675697,1.2702475,1.2551187,1.2728612
99,1.2684572,1.2710899,1.2562959,1.2736921
100,1.2690359,1.2716434,1.2573984,1.2738782
101,1.2691008,1.2716966,1.2574873,1.2739322
102,1.2695575,1.2721318,1.2580628,1.2743921
103,1.2700955,1.2726691,1.2589649,1.2747068
104,1.2701578,1.2727491,1.2591231,1.2746942
105,1.2701491,1.2727027,1.2591043,1.2746763
106,1.2701964,1.2727479,1.2591507,1.2747383
107,1.2701634,1.2727308,1.2591424,1.2746764
108,1.2698175,1.2724502,1.2586409,1.2744203
109,1.2697754,1.2723504,1.2584963,1.2744472
110,1.2697896,1.2723855,1.2585654,1.2744168
111,1.2696807,1.2722627,1.2583876,1.2743423
112,1.2695955,1.2721658,1.2582426,1.2742883
113,1.2697123,1.2722769,1.2584101,1.274385
114,1.2697015,1.2722882,1.2584343,1.2743431
115,1.269522,1.2721391,1.2581543,1.274229
116,1.2695967,1.2721723,1.2582476,1.2742896
117,1.2694572,1.2720691,1.2580571,1.2741773
118,1.2693785,1.2719741,1.2579339,1.2741152
119,1.2693073,1.2719041,1.2578156,1.2740722
120,1.2694038,1.2719878,1.2579355,1.274168
121,1.2691563,1.2718372,1.2576399,1.2739412
122,1.2690669,1.2716779,1.2574161,1.2739344
123,1.2691272,1.2717484,1.2575403,1.2739495
124,1.2690748,1.2716898,1.2574666,1.2739011
125,1.2690662,1.2716722,1.2574482,1.2738972
126,1.2690004,1.2716142,1.25736,1.2738384
127,1.2688419,1.2714825,1.2571244,1.2737257
128,1.2687207,1.2713684,1.2569213,1.2736567
129,1.26867,1.2713171,1.2568406,1.2736218
130,1.2686933,1.271323,1.2568836,1.2736245
131,1.2686262,1.271267,1.256787,1.2735732
132,1.268604,1.2712282,1.2567353,1.2735677
133,1.2685486,1.2712029,1.2566607,1.2735298
134,1.2685157,1.271175,1.2566118,1.2735065
135,1.2685862,1.2712193,1.2566729,1.273596
136,1.2686923,1.2713234,1.2568852,1.2736204
137,1.2685374,1.2711942,1.2566671,1.2734976
138,1.2684972,1.2711227,1.2565634,1.2734973
139,1.2685205,1.2711561,1.2566123,1.2735059
140,1.2685566,1.2711872,1.2566633,1.2735347
141,1.2685429,1.2711765,1.2566512,1.2735159
142,1.2685453,1.2711737,1.2566537,1.2735184
143,1.2684634,1.2710997,1.2565289,1.27346
144,1.2684737,1.2711052,1.2565353,1.2734756
145,1.2685452,1.2711707,1.2566388,1.2735318
146,1.2686113,1.2712473,1.2567364,1.2735891
147,1.2688216,1.2714342,1.2570422,1.2737521
148,1.2688708,1.2714792,1.2571402,1.273763
149,1.2688694,1.271479,1.2571452,1.2737532
150,1.2688189,1.2714436,1.2570767,1.2737143
151,1.2687263,1.2713681,1.2569373,1.2736511
152,1.2688699,1.2714832,1.257092,1.2738137
153,1.2692469,1.2718812,1.2576354,1.2741377
154,1.2697545,1.2723241,1.2584513,1.2744437
155,1.2698873,1.2724494,1.2586871,1.2745037
156,1.2699186,1.2724855,1.258749,1.2745142
157,1.2700864,1.2726376,1.258962,1.2746775
158,1.2701702,1.2727283,1.2591367,1.2746943
159,1.2702162,1.2727726,1.2591722,1.274766
160,1.270285,1.2728251,1.2592771,1.2748084
161,1.2703174,1.2728697,1.2593665,1.2747953
162,1.2702018,1.272767,1.2591975,1.2747073
163,1.2703698,1.2729124,1.2593713,1.27491
164,1.2707618,1.2732847,1.2599798,1.2751824
165,1.2709225,1.2734449,1.2602841,1.2752407
166,1.2708517,1.2733682,1.2601755,1.2751861
167,1.270843,1.2733563,1.2601533,1.2751858
168,1.2707939,1.2733256,1.2600973,1.2751374
169,1.2709073,1.2734166,1.2602174,1.2752681
170,1.2710909,1.2736096,1.2605231,1.2753838
171,1.2708632,1.2734565,1.2601962,1.275223
172,1.270963,1.2734773,1.26034,1.2752714
173,1.2710565,1.2735708,1.260478,1.2753469
174,1.2709882,1.2735211,1.2604098,1.2752668
