,Open,High,Low,Close
0,1.2556592,1.2408441,1.2608193,1.2388045
1,1.2558391,1.2411178,1.2609555,1.2390782
2,1.2558635,1.2411556,1.2609785,1.2391229
3,1.2557746,1.2410038,1.2609018,1.2389712
4,1.2557397,1.2409762,1.2608753,1.2389187
5,1.2555807,1.2406801,1.2607516,1.2386708
6,1.2553512,1.2403613,1.2605866,1.2383374
7,1.2557629,1.2409956,1.2608982,1.2389632
8,1.2558804,1.2411729,1.2609869,1.2391413
9,1.2558463,1.241144,1.2609661,1.2390981
10,1.2560077,1.2413923,1.2610916,1.2393492
11,1.2559655,1.2412914,1.2610526,1.2392728
12,1.255894,1.2411938,1.2609849,1.2391402
13,1.2558926,1.2412088,1.2610095,1.239183
14,1.2561053,1.2415078,1.2611539,1.2394782
15,1.2561461,1.241614,1.2611932,1.2395545
16,1.2564796,1.242123,1.2614518,1.2400727
17,1.2562329,1.2416679,1.2612554,1.2396809
18,1.2556076,1.2407044,1.2607628,1.2386957
19,1.2548038,1.2394449,1.2601472,1.2374612
20,1.2543974,1.2388887,1.2598372,1.236838
21,1.254303,1.2387551,1.2597673,1.2366968
22,1.2544926,1.2390429,1.2599202,1.2370012
23,1.2545375,1.2390622,1.2599353,1.237037
24,1.2539594,1.2381715,1.2594984,1.2361588
25,1.2536399,1.2376928,1.2592511,1.235663
26,1.2535856,1.2376273,1.2592037,1.2355697
27,1.2536027,1.237668,1.2592231,1.2356071
28,1.2536714,1.2377664,1.2592793,1.2357186
29,1.2535684,1.2375722,1.2591916,1.2355456
30,1.2534633,1.2374508,1.2591184,1.2353961
31,1.2533861,1.2372829,1.2590628,1.2352837
32,1.253358,1.237285,1.2590328,1.2352257
33,1.2534553,1.2374289,1.2591063,1.2353733
34,1.2533447,1.2372516,1.2590255,1.2352098
35,1.2533528,1.2372712,1.259035,1.235228
36,1.2532675,1.237106,1.258962,1.235084
37,1.2530358,1.2367793,1.2587937,1.2347435
38,1.253299,1.2371967,1.2589902,1.2351391
39,1.2534431,1.2374185,1.259103,1.2353649
40,1.253392,1.2373163,1.2590603,1.2352802
41,1.2533699,1.2373024,1.2590407,1.2352419
42,1.2537355,1.2378846,1.2593299,1.23582
43,1.254451,1.2389711,1.259876,1.236917
44,1.2548153,1.2395428,1.2601584,1.2374825
45,1.2547622,1.2394437,1.2601207,1.2374054
46,1.2547007,1.2393653,1.260079,1.2373203
47,1.2548438,1.2395719,1.2601917,1.2375458
48,1.2549379,1.2396977,1.2602798,1.2377188
49,1.255535,1.2406298,1.260708,1.2385867
50,1.2556022,1.2407641,1.2607771,1.2387197
51,1.2553798,1.2404143,1.2605971,1.2383604
52,1.2553841,1.2404289,1.260605,1.2383752
53,1.2551595,1.240017,1.260427,1.2380197
54,1.2548697,1.2396166,1.260206,1.2375762
55,1.2553668,1.2404095,1.2605995,1.2383626
56,1.2558304,1.2411004,1.2609514,1.2390692
57,1.2558274,1.2411118,1.2609469,1.2390604
58,1.2558823,1.2411923,1.2609866,1.2391405
59,1.2559421,1.2412724,1.2610232,1.2392168
60,1.2559059,1.2412322,1.2610134,1.2391924
61,1.2560955,1.2414943,1.2611424,1.2394562
62,1.2557406,1.2409583,1.2608863,1.2389379
63,1.255523,1.2405975,1.2607101,1.2385863
64,1.2552042,1.240132,1.2604669,1.2380977
65,1.2551613,1.2400626,1.2604271,1.2380207
66,1.254981,1.2397683,1.2602851,1.2377363
67,1.255396,1.2404644,1.2606186,1.2384022
68,1.255827,1.2410681,1.2609413,1.2390512
69,1.2554102,1.2404344,1.260624,1.2384138
70,1.255248,1.2402067,1.2605013,1.2381669
71,1.2551366,1.2400187,1.2604128,1.2379906
72,1.2545035,1.2389177,1.2599422,1.2370435
73,1.2565598,1.242313,1.2615262,1.2402222
74,1.2586806,1.2455009,1.2631444,1.2434672
75,1.2585801,1.2453662,1.2630705,1.2433186
76,1.2584409,1.245144,1.2629757,1.2431245
77,1.2579901,1.2443645,1.2626101,1.2423971
78,1.2573601,1.243473,1.2621479,1.2414632
79,1.2579752,1.2444291,1.2625983,1.2423732
80,1.2580686,1.2445716,1.262679,1.2425326
81,1.2578113,1.2441907,1.2624863,1.2421441
82,1.2580761,1.2445906,1.2626783,1.2425327
83,1.2581071,1.2446445,1.26271,1.2425941
84,1.2578831,1.2442409,1.2625358,1.2422454
85,1.2574918,1.2436608,1.2622346,1.2416409
86,1.257233,1.2432495,1.2620265,1.2412264
