Open,High,Low,Close
1.1062196,1.1029052,1.1124519,1.1054711
1.1072335,1.1039473,1.1134045,1.1064888
1.1073955,1.1041343,1.1135678,1.1066531
1.1067655,1.1034869,1.1129708,1.1060194
1.1067035,1.1034046,1.1129146,1.1059602
1.1055067,1.1021793,1.111766,1.1047488
1.1044052,1.1010065,1.1107187,1.1036426
1.1067678,1.1034383,1.1129451,1.1060168
1.1074265,1.1041682,1.1135952,1.1066835
1.1073755,1.1041082,1.1135527,1.1066352
1.108317,1.1050886,1.1144454,1.1075817
1.1078562,1.1046154,1.1139964,1.1071132
1.1074524,1.1041818,1.1136165,1.106711
1.1076392,1.104351,1.1137776,1.1068939
1.1086456,1.1054356,1.1147469,1.1079084
1.1091402,1.1059111,1.1152116,1.1084085
1.1110624,1.1079333,1.1170444,1.1103425
1.1092101,1.1060176,1.1152594,1.1084675
1.1055294,1.1021961,1.1117783,1.1047695
1.1007769,1.0972637,1.1072681,1.0999869
1.0987977,1.0952091,1.1054287,1.0980104
1.0983258,1.0947117,1.1049827,1.0975372
1.0994323,1.0958633,1.1060274,1.0986476
1.0993453,1.0957763,1.1059287,1.0985547
1.096035,1.0923526,1.1027997,1.0952263
1.0942518,1.0904895,1.1011121,1.0934354
1.0940081,1.0902413,1.1008955,1.0931958
1.094211,1.0904498,1.1010913,1.0934008
1.0945854,1.090845,1.1014447,1.0937759
1.093765,1.0899936,1.1006532,1.0929458
1.0934011,1.0895976,1.1003157,1.0925845
1.0927148,1.0888988,1.099648,1.0918854
1.0927542,1.0889357,1.099709,1.0919355
1.0932807,1.0894877,1.100208,1.0924644
1.0926263,1.0888156,1.0995883,1.0918052
1.0927192,1.0888953,1.0996681,1.0918972
1.0920178,1.088185,1.0990003,1.0911889
1.0908778,1.0869857,1.0979234,1.0900449
1.0924379,1.0886025,1.099407,1.0916167
1.0932782,1.0894893,1.1002102,1.0924627
1.0928448,1.0890425,1.099791,1.0920235
1.0928129,1.088997,1.0997647,1.0919945
1.0950539,1.0912919,1.1018735,1.094246
1.0990925,1.0954622,1.1056769,1.0983016
1.1012746,1.097774,1.1077754,1.1005023
1.1008894,1.0973905,1.1074107,1.1001126
1.1006407,1.0971208,1.1071744,1.0998633
1.1014047,1.097899,1.1078805,1.1006263
1.1019167,1.0984026,1.1083329,1.1011306
1.1053044,1.1019151,1.111555,1.1045452
1.1059376,1.1026138,1.1121889,1.105189
1.1045724,1.1012088,1.1109035,1.1038182
1.1046582,1.1012982,1.1109872,1.1039051
1.1029881,1.099564,1.1093743,1.1022139
1.1015586,1.0980679,1.1080364,1.1007842
1.1046216,1.1011885,1.1109102,1.1038601
1.1071709,1.1039042,1.1133552,1.106427
1.1072322,1.1039675,1.1134222,1.1064924
1.1075175,1.1042643,1.1136917,1.1067791
1.1077601,1.1045053,1.1139123,1.1070215
1.1077083,1.1044408,1.1138579,1.1069673
1.1085763,1.1053506,1.1146758,1.1078384
1.106652,1.1033653,1.1128604,1.1059037
1.1052178,1.1018807,1.1114956,1.1044592
1.1035162,1.1001158,1.109898,1.1027533
1.10322,1.0997993,1.1096128,1.1024554
1.1020733,1.0986152,1.1085238,1.1013006
1.1048263,1.1013852,1.1111007,1.104067
1.1069824,1.1037132,1.1131687,1.1062343
1.1046244,1.1012596,1.110936,1.103864
1.1038088,1.1004164,1.1101764,1.1030484
1.1030682,1.0996509,1.1094701,1.1023015
1.098802,1.0951587,1.1053228,1.0979766
1.1118945,1.1084827,1.117671,1.1111548
1.123781,1.1211306,1.1290778,1.1231259
1.1233159,1.1206361,1.1286392,1.1226605
1.1225219,1.1198331,1.127892,1.1218604
1.119369,1.1165587,1.1248689,1.1186773
1.1162181,1.1132678,1.1219053,1.1155185
1.1197364,1.1168853,1.1252285,1.1190585
1.1203188,1.1175474,1.1258109,1.1196481
1.1189233,1.1160969,1.1244942,1.1182469
1.1203734,1.1175867,1.1258584,1.1197039
1.1206186,1.117855,1.1260989,1.1199516
1.1190015,1.1161754,1.1245382,1.1183141
1.1168453,1.1139371,1.122508,1.1161512
1.115236,1.1122723,1.1209843,1.1145333
1.1144918,1.1114835,1.120286,1.113789
1.1154752,1.112517,1.1212245,1.1147785
1.1158911,1.1129538,1.1216192,1.1151968
1.1145287,1.1115353,1.1203074,1.11382
1.1145397,1.1115121,1.1203227,1.1138372
1.1154352,1.1124622,1.1211734,1.1147348
1.1159624,1.1130298,1.1216875,1.1152685
1.1155628,1.1126121,1.1213076,1.1148665
1.1152446,1.1122853,1.1210074,1.1145469
1.1143802,1.11138,1.1201785,1.1136742
1.1131657,1.110125,1.1190194,1.1124498
1.1128616,1.1097845,1.1187402,1.11215
1.1208978,1.1179956,1.1262871,1.1202215
1.1258878,1.1233237,1.1310871,1.1252478
1.1264559,1.1239085,1.1316261,1.1258203
1.1305281,1.1280535,1.1354443,1.1299088
1.1354096,1.1331578,1.1400753,1.1348146
1.1360258,1.1338294,1.1406652,1.1354321
1.1357917,1.1336015,1.1404684,1.1352051
1.1362334,1.1340417,1.1408777,1.1356481
1.1360103,1.1338292,1.1406686,1.1354221
1.1331574,1.1308616,1.1379397,1.1325443
1.1324899,1.13015,1.1373268,1.1318833
1.1327671,1.1304532,1.1375855,1.132159
1.1316547,1.1293056,1.1365453,1.1310446
